"date","asymptomatic","n"
2022-02-20,TRUE,2
2022-02-24,TRUE,1
2022-02-25,TRUE,1
2022-02-26,TRUE,1
2022-02-27,TRUE,1
2022-02-28,TRUE,3
2022-03-01,FALSE,1
2022-03-01,TRUE,1
2022-03-02,FALSE,3
2022-03-02,TRUE,5
2022-03-03,FALSE,2
2022-03-03,TRUE,14
2022-03-04,FALSE,3
2022-03-04,TRUE,16
2022-03-05,TRUE,28
2022-03-06,FALSE,3
2022-03-06,TRUE,45
2022-03-07,FALSE,4
2022-03-07,TRUE,51
2022-03-08,FALSE,3
2022-03-08,TRUE,62
2022-03-09,FALSE,4
2022-03-09,TRUE,76
2022-03-10,FALSE,11
2022-03-10,TRUE,64
2022-03-11,FALSE,5
2022-03-11,TRUE,78
2022-03-12,FALSE,1
2022-03-12,TRUE,64
2022-03-13,FALSE,41
2022-03-13,TRUE,128
2022-03-14,FALSE,9
2022-03-14,TRUE,130
2022-03-15,FALSE,5
2022-03-15,TRUE,197
2022-03-16,FALSE,8
2022-03-16,TRUE,150
2022-03-17,FALSE,57
2022-03-17,TRUE,203
2022-03-18,FALSE,8
2022-03-18,TRUE,366
2022-03-19,FALSE,17
2022-03-19,TRUE,492
2022-03-20,FALSE,24
2022-03-20,TRUE,734
2022-03-21,FALSE,31
2022-03-21,TRUE,865
2022-03-22,FALSE,4
2022-03-22,TRUE,977
2022-03-23,FALSE,4
2022-03-23,TRUE,979
2022-03-24,FALSE,29
2022-03-24,TRUE,1580
2022-03-25,FALSE,38
2022-03-25,TRUE,2231
2022-03-26,FALSE,45
2022-03-26,TRUE,2631
2022-03-27,FALSE,50
2022-03-27,TRUE,3450
2022-03-28,FALSE,96
2022-03-28,TRUE,4381
2022-03-29,FALSE,326
2022-03-29,TRUE,5656
2022-03-30,FALSE,355
2022-03-30,TRUE,5298
2022-03-31,FALSE,358
2022-03-31,TRUE,4144
2022-04-01,FALSE,260
2022-04-01,TRUE,6051
2022-04-02,FALSE,438
2022-04-02,TRUE,7788
2022-04-03,FALSE,425
2022-04-03,TRUE,8581
2022-04-04,FALSE,268
2022-04-04,TRUE,13086
2022-04-05,FALSE,311
2022-04-05,TRUE,16766
2022-04-06,FALSE,322
2022-04-06,TRUE,19660
2022-04-07,FALSE,824
2022-04-07,TRUE,20398
2022-04-08,FALSE,1015
2022-04-08,TRUE,22609
2022-04-09,FALSE,1006
2022-04-09,TRUE,23937
2022-04-10,FALSE,914
2022-04-10,TRUE,25173
2022-04-11,FALSE,994
2022-04-11,TRUE,22348
2022-04-12,FALSE,1189
2022-04-12,TRUE,25141
2022-04-13,FALSE,2573
2022-04-13,TRUE,25146
2022-04-14,FALSE,3200
2022-04-14,TRUE,19872
2022-04-15,FALSE,3590
2022-04-15,TRUE,19923
2022-04-16,FALSE,3238
2022-04-16,TRUE,21582
2022-04-17,FALSE,2417
2022-04-17,TRUE,19831
2022-04-18,FALSE,3084
2022-04-18,TRUE,17332
2022-04-19,FALSE,2494
2022-04-19,TRUE,16407
2022-04-20,FALSE,2634
2022-04-20,TRUE,15861
2022-04-21,FALSE,1931
2022-04-21,TRUE,15698
2022-04-22,FALSE,2736
2022-04-22,TRUE,20634
2022-04-23,FALSE,1401
2022-04-23,TRUE,19657
2022-04-24,FALSE,2472
2022-04-24,TRUE,16983
2022-04-25,FALSE,1661
2022-04-25,TRUE,15319
2022-04-26,FALSE,1606
2022-04-26,TRUE,11956
2022-04-27,FALSE,1292
2022-04-27,TRUE,9330
2022-04-28,FALSE,5487
2022-04-28,TRUE,9545
2022-04-29,FALSE,1249
2022-04-29,TRUE,8932
2022-04-30,FALSE,788
2022-04-30,TRUE,7084
2022-05-01,FALSE,727
2022-05-01,TRUE,6606
2022-05-02,FALSE,274
2022-05-02,TRUE,5395
2022-05-03,FALSE,260
2022-05-03,TRUE,4722
2022-05-04,FALSE,261
2022-05-04,TRUE,4390
2022-05-05,FALSE,245
2022-05-05,TRUE,4024
2022-05-06,FALSE,253
2022-05-06,TRUE,3961
2022-05-07,FALSE,215
2022-05-07,TRUE,3760
2022-05-08,FALSE,322
2022-05-08,TRUE,3625
2022-05-09,FALSE,234
2022-05-09,TRUE,2780
2022-05-10,FALSE,228
2022-05-10,TRUE,1259
2022-05-11,FALSE,144
2022-05-11,TRUE,1305
2022-05-12,FALSE,227
2022-05-12,TRUE,1869
2022-05-13,FALSE,194
2022-05-13,TRUE,1487
2022-05-14,FALSE,166
2022-05-14,TRUE,1203
2022-05-15,FALSE,69
2022-05-15,TRUE,869
2022-05-16,FALSE,77
2022-05-16,TRUE,746
2022-05-17,FALSE,96
2022-05-17,TRUE,759
2022-05-18,FALSE,82
2022-05-18,TRUE,637
2022-05-19,FALSE,88
2022-05-19,TRUE,770
2022-05-20,FALSE,84
2022-05-20,TRUE,784
2022-05-21,FALSE,52
2022-05-21,TRUE,570
2022-05-22,FALSE,55
2022-05-22,TRUE,503
2022-05-23,FALSE,58
2022-05-23,TRUE,422
2022-05-24,FALSE,44
2022-05-24,TRUE,343
2022-05-25,FALSE,48
2022-05-25,TRUE,290
2022-05-26,FALSE,45
2022-05-26,TRUE,219
2022-05-27,FALSE,39
2022-05-27,TRUE,131
2022-05-28,FALSE,29
2022-05-28,TRUE,93
2022-05-29,FALSE,6
2022-05-29,TRUE,61
2022-05-30,FALSE,9
2022-05-30,TRUE,22
2022-05-31,FALSE,5
2022-05-31,TRUE,10
2022-06-01,FALSE,5
2022-06-01,TRUE,8
